algorithm,jaccard_index,gini_coef,train_loss,test_loss
conventional_mf,0.05234023668987474,0.07739947893225485,0.8706258846652143,0.8767108439485463
conventional_mf,0.09784894401606932,0.1571767397780815,0.8712807439489711,0.8754343120912063
conventional_mf,0.13884502176174707,0.22209619314101625,0.8717278713949177,0.875110298833547
conventional_mf,0.17631315335385392,0.27554079669231973,0.8724063870855482,0.8743883027435229
conventional_mf,0.2110994786757116,0.31986458901130826,0.872267796944896,0.8742940618803869
conventional_mf,0.24269086357851394,0.35633103222481,0.8724289190737621,0.8739060542364449
conventional_mf,0.271701268146117,0.38686397724103494,0.872122572720556,0.8737158457495042
conventional_mf,0.298891853391226,0.4123510886577068,0.8719092783668736,0.8735779656470408
conventional_mf,0.3234746094267641,0.43355669115206136,0.872365824402875,0.8733572293467255
conventional_mf,0.34588754869954946,0.4517927667229264,0.8727902130491847,0.8732429766563415
ips_mf,0.05234023668987474,0.07739947893225485,0.6550173683451256,0.7650962137555833
ips_mf,0.06578561483476263,0.13056714912388986,0.6831842961840763,0.7628852583953009
ips_mf,0.08957068729496587,0.1863914407514075,0.7014897873739265,0.7633852105573867
ips_mf,0.11302289536421077,0.23662868709960683,0.7156373429675441,0.7639098001175565
ips_mf,0.13852404297108706,0.27960719128293754,0.7265189862499897,0.7649587136549967
ips_mf,0.16702457128610187,0.3181213677890608,0.7355211177452906,0.7660069766064787
ips_mf,0.19260026551317058,0.34866303716290353,0.7433773379082526,0.7667331040732621
ips_mf,0.213759868554303,0.3749647466572185,0.7500083526176864,0.7677989421011172
ips_mf,0.23935408052801108,0.3984842923464363,0.7555005122412346,0.7690864799390662
ips_mf,0.2621279195995465,0.4177472393516484,0.7605354184004681,0.7698220006139335
random,0.05234023668987474,0.07739947893225485,,
random,0.05793855310335731,0.07361794211965017,,
random,0.06362955901616774,0.07159157122493538,,
random,0.0693717640895931,0.06969340004008662,,
random,0.07514372634257256,0.06719034565418545,,
random,0.08096148847012614,0.06470652614804917,,
random,0.08685662436236662,0.06269552335382875,,
random,0.09281295788122115,0.06085580833083475,,
random,0.0988292065603957,0.058952233267359225,,
random,0.10492258127550312,0.05751127578814722,,
