algorithm,jaccard_index,gini_coef,train_loss,test_loss
conventional_mf,0.05234023668987474,0.07739947893225485,0.7949344370726819,0.8040668463716785
conventional_mf,0.0983070943529672,0.15818605332125324,0.7967475842616963,0.8063767465413729
conventional_mf,0.1398944464345047,0.22436459601782818,0.7990650266333184,0.8039876425300924
conventional_mf,0.17768936355528078,0.27824046335919395,0.802119406890813,0.8073885789846255
conventional_mf,0.21186548768781874,0.3215147403383702,0.8005493347386492,0.8074327718152999
conventional_mf,0.24262835826164197,0.35793758080519,0.803157569010043,0.8058101372619048
conventional_mf,0.2708155711889365,0.3879311327364435,0.8033767978167676,0.8054552752992599
conventional_mf,0.2985833884705789,0.4137927588302054,0.802622543344908,0.8036203839060795
conventional_mf,0.32473072570279327,0.43551926091182946,0.8027278837056254,0.8058553370277327
conventional_mf,0.34461417300690017,0.45282291618150317,0.8039717822067006,0.8060928473043723
conventional_mf,0.3586776108623635,0.4659372683435145,0.8025986500885138,0.8056251115931523
conventional_mf,0.37139196235430366,0.4761646506142007,0.8032978635253527,0.8058462730277952
conventional_mf,0.38506147841602606,0.4852609458432843,0.8005680445981123,0.8033004445181909
conventional_mf,0.40094376177279467,0.49327497090835637,0.8041107532227485,0.8063600820146902
conventional_mf,0.41438143918005377,0.49914052394832364,0.8020282559566334,0.8047330291242959
conventional_mf,0.4296098026080017,0.5039269374426599,0.8008729331090164,0.8024943435506598
conventional_mf,0.4443536120976955,0.5079104820141024,0.8002332686244755,0.8027889165431277
conventional_mf,0.4591047733834747,0.5107281600147447,0.803906288977939,0.8048148687922
conventional_mf,0.4734236596383848,0.5127337276651496,0.802264906267223,0.8018271395367351
conventional_mf,0.48669100557388445,0.5136531259557264,0.8023818184510129,0.8036695824315551
ips_mf,0.05234023668987474,0.07739947893225485,0.28159705930996326,0.9825057525143255
ips_mf,0.05799185205562627,0.07036824423877189,0.3202464067152346,0.9158195419790705
ips_mf,0.0635506247050041,0.06442792398983982,0.3583601125328044,0.8730225923888592
ips_mf,0.0692096681530689,0.06079600067441758,0.39742129650317165,0.8352879793236437
ips_mf,0.0749080923005664,0.05731936167529836,0.43891884507028733,0.8093052836661376
ips_mf,0.08072672951288899,0.05572971209097049,0.47799246025517317,0.7884270664761626
ips_mf,0.08672303852418552,0.05662411313038557,0.5147238072522136,0.7764298479179251
ips_mf,0.093081179944936,0.06299034807332346,0.5490860787688502,0.7692585740527016
ips_mf,0.09997130870376511,0.07292323396892333,0.5814587167816628,0.7652072851421431
ips_mf,0.10773494513846678,0.08635351790628995,0.6098604108772094,0.7624372088914795
ips_mf,0.1168913396672477,0.10373427818747867,0.6336263724306811,0.7625791832689696
ips_mf,0.12872184785160415,0.12519803767787074,0.6527452420330719,0.761389497258483
ips_mf,0.1431909705846244,0.14837413098339042,0.6702737205517686,0.7615781763000707
ips_mf,0.15795143804886896,0.17116641822648943,0.6830480207326756,0.7603485842811308
ips_mf,0.17223133997506865,0.19155681985747441,0.6958841718028235,0.7612580675557216
ips_mf,0.18902119053114974,0.21252977626786052,0.7071623452952874,0.762058575943281
ips_mf,0.20701328308230277,0.2325541020911594,0.7167200982423388,0.7632893969687099
ips_mf,0.22463389644691606,0.2512688235122205,0.7230810375087174,0.7617433331100473
ips_mf,0.24278828985730905,0.2681548627883467,0.7309757552442576,0.7637287478551366
ips_mf,0.2617938124114199,0.2841744739923083,0.7370936711506245,0.7639232974665469
random,0.05234023668987474,0.07739947893225485,,
random,0.05793855310335731,0.07361794211965017,,
random,0.06362955901616774,0.07159157122493538,,
random,0.0693717640895931,0.06969340004008662,,
random,0.07514372634257256,0.06719034565418545,,
random,0.08096148847012614,0.06470652614804917,,
random,0.08685662436236662,0.06269552335382875,,
random,0.09281295788122115,0.06085580833083475,,
random,0.0988292065603957,0.058952233267359225,,
random,0.10492258127550312,0.05751127578814722,,
random,0.11108197590856683,0.05619831585741064,,
random,0.1172733446127595,0.054111997088496844,,
random,0.12353994394901459,0.05249091783163744,,
random,0.1298996090402798,0.05129618769638346,,
random,0.13629308284268263,0.049389955033886074,,
random,0.1427537224526591,0.04750598290451224,,
random,0.14931351332899986,0.04615458671861012,,
random,0.15591472246838278,0.04413002349869317,,
random,0.1626342397436728,0.04313104547758718,,
random,0.16942644732856932,0.04210242887309505,,
