algorithm,jaccard_index,gini_coef,train_loss,test_loss
conventional_mf,0.05234023668987474,0.07739947893225485,0.7949344370726819,0.8040668463716785
conventional_mf,0.0983070943529672,0.15818605332125324,0.7967475842616963,0.8063767465413729
conventional_mf,0.1398944464345047,0.22436459601782818,0.7990650266333184,0.8039876425300924
conventional_mf,0.17768936355528078,0.27824046335919395,0.802119406890813,0.8073885789846255
conventional_mf,0.21186548768781874,0.3215147403383702,0.8005493347386492,0.8074327718152999
conventional_mf_with_selection_bias,0.05234023668987474,0.07739947893225485,0.7949344370726819,0.8040668463716785
conventional_mf_with_selection_bias,0.061978649448177395,0.11239886759447479,0.7957589295962071,0.8063765896945448
conventional_mf_with_selection_bias,0.07089153262385535,0.1404543480968899,0.7969492126494144,0.809873268682578
conventional_mf_with_selection_bias,0.08042216618923301,0.16837611816451875,0.7945684339983939,0.8074967988782642
conventional_mf_with_selection_bias,0.08878667991628118,0.19192925104212993,0.7950266105098505,0.8099897674117592
ips_mf,0.05234023668987474,0.07739947893225485,0.28159705930996326,0.9825057525143255
ips_mf,0.05799185205562627,0.07036824423877189,0.3202464067152346,0.9158195419790705
ips_mf,0.0635506247050041,0.06442792398983982,0.3583601125328044,0.8730225923888592
ips_mf,0.0692096681530689,0.06079600067441758,0.39742129650317165,0.8352879793236437
ips_mf,0.0749080923005664,0.05731936167529836,0.43891884507028733,0.8093052836661376
random,0.05234023668987474,0.07739947893225485,,
random,0.05793855310335731,0.07361794211965017,,
random,0.06362955901616774,0.07159157122493538,,
random,0.0693717640895931,0.06969340004008662,,
random,0.07514372634257256,0.06719034565418545,,
